,date,HomeTeam,AwayTeam,HomeGoals,AwayGoals,FTR
224,2021-01-01,Man Utd,Aston Villa,2,1,H
225,2020-12-30,Newcastle,Liverpool,0,0,D
226,2020-12-29,Brighton,Arsenal,0,1,A
227,2020-12-29,Burnley,Sheffield Utd,1,0,H
228,2020-12-29,Southampton,West Ham,0,0,D
229,2020-12-29,West Brom,Leeds,0,5,A
230,2020-12-29,Man Utd,Wolves,1,0,H
231,2020-12-28,Crystal Palace,Leicester,1,1,D
232,2020-12-28,Chelsea,Aston Villa,1,1,D
233,2020-12-27,Leeds,Burnley,1,0,H
234,2020-12-27,West Ham,Brighton,2,2,D
235,2020-12-27,Liverpool,West Brom,1,1,D
236,2020-12-27,Wolves,Spurs,1,1,D
237,2020-12-26,Arsenal,Chelsea,3,1,H
238,2020-12-26,Man City,Newcastle,2,0,H
239,2020-12-26,Sheffield Utd,Everton,0,1,A
240,2020-12-26,Leicester,Man Utd,2,2,D
241,2020-12-26,Aston Villa,Crystal Palace,3,0,H
242,2020-12-26,Fulham,Southampton,0,0,D
243,2020-12-21,Burnley,Wolves,2,1,H
244,2020-12-21,Chelsea,West Ham,3,0,H
245,2020-12-20,Brighton,Sheffield Utd,1,1,D
246,2020-12-20,Spurs,Leicester,0,2,A
247,2020-12-20,Man Utd,Leeds,6,2,H
248,2020-12-20,West Brom,Aston Villa,0,3,A
249,2020-12-19,Crystal Palace,Liverpool,0,7,A
250,2020-12-19,Southampton,Man City,0,1,A
251,2020-12-19,Everton,Arsenal,2,1,H
252,2020-12-19,Newcastle,Fulham,1,1,D
253,2020-12-17,Aston Villa,Burnley,0,0,D
254,2020-12-17,Sheffield Utd,Man Utd,2,3,A
255,2020-12-16,Arsenal,Southampton,1,1,D
256,2020-12-16,Leeds,Newcastle,5,2,H
257,2020-12-16,Leicester,Everton,0,2,A
258,2020-12-16,Fulham,Brighton,0,0,D
259,2020-12-16,Liverpool,Spurs,2,1,H
260,2020-12-16,West Ham,Crystal Palace,1,1,D
261,2020-12-15,Wolves,Chelsea,2,1,H
262,2020-12-15,Man City,West Brom,1,1,D
263,2020-12-13,Southampton,Sheffield Utd,3,0,H
264,2020-12-13,Crystal Palace,Spurs,1,1,D
265,2020-12-13,Fulham,Liverpool,1,1,D
266,2020-12-13,Arsenal,Burnley,0,1,A
267,2020-12-13,Leicester,Brighton,3,0,H
268,2020-12-12,Wolves,Aston Villa,0,1,A
269,2020-12-12,Newcastle,West Brom,2,1,H
270,2020-12-12,Man Utd,Man City,0,0,D
271,2020-12-12,Everton,Chelsea,1,0,H
272,2020-12-11,Leeds,West Ham,1,2,A
273,2020-12-07,Brighton,Southampton,1,2,A
274,2020-12-06,West Brom,Crystal Palace,1,5,A
275,2020-12-06,Sheffield Utd,Leicester,1,2,A
276,2020-12-06,Spurs,Arsenal,2,0,H
277,2020-12-06,Liverpool,Wolves,4,0,H
278,2020-12-05,West Ham,Man Utd,1,3,A
279,2020-12-05,Chelsea,Leeds,3,1,H
280,2020-12-05,Burnley,Everton,1,1,D
281,2020-12-05,Man City,Fulham,2,0,H
282,2020-11-30,Leicester,Fulham,1,2,A
283,2020-11-30,West Ham,Aston Villa,2,1,H
284,2020-11-29,Southampton,Man Utd,2,3,A
285,2020-11-29,Chelsea,Spurs,0,0,D
286,2020-11-29,Arsenal,Wolves,1,2,A
287,2020-11-28,Brighton,Liverpool,1,1,D
288,2020-11-28,Man City,Burnley,5,0,H
289,2020-11-28,Everton,Leeds,0,1,A
290,2020-11-28,West Brom,Sheffield Utd,1,0,H
291,2020-11-27,Crystal Palace,Newcastle,0,2,A
292,2020-11-23,Burnley,Crystal Palace,1,0,H
293,2020-11-23,Wolves,Southampton,1,1,D
294,2020-11-22,Fulham,Everton,2,3,A
295,2020-11-22,Sheffield Utd,West Ham,0,1,A
296,2020-11-22,Leeds,Arsenal,0,0,D
297,2020-11-22,Liverpool,Leicester,3,0,H
298,2020-11-21,Newcastle,Chelsea,0,2,A
299,2020-11-21,Aston Villa,Brighton,1,2,A
300,2020-11-21,Spurs,Man City,2,0,H
301,2020-11-21,Man Utd,West Brom,1,0,H
302,2020-11-08,West Brom,Spurs,0,1,A
303,2020-11-08,Leicester,Wolves,1,0,H
304,2020-11-08,Man City,Liverpool,1,1,D
305,2020-11-08,Arsenal,Aston Villa,0,3,A
306,2020-11-07,Everton,Man Utd,1,3,A
307,2020-11-07,Crystal Palace,Leeds,4,1,H
308,2020-11-07,Chelsea,Sheffield Utd,4,1,H
309,2020-11-07,West Ham,Fulham,1,0,H
310,2020-11-06,Brighton,Burnley,0,0,D
311,2020-11-06,Southampton,Newcastle,2,0,H
312,2020-11-02,Fulham,West Brom,2,0,H
313,2020-11-02,Leeds,Leicester,1,4,A
314,2020-11-01,Aston Villa,Southampton,3,4,A
315,2020-11-01,Newcastle,Everton,2,1,H
316,2020-11-01,Man Utd,Arsenal,0,1,A
317,2020-11-01,Spurs,Brighton,2,1,H
318,2020-10-31,Burnley,Chelsea,0,3,A
319,2020-10-31,Liverpool,West Ham,2,1,H
320,2020-10-31,Sheffield Utd,Man City,0,1,A
321,2020-10-30,Wolves,Crystal Palace,2,0,H
322,2020-10-26,Brighton,West Brom,1,1,D
323,2020-10-26,Burnley,Spurs,0,1,A
324,2020-10-25,Southampton,Everton,2,0,H
