,Unnamed: 0,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HomeTeam_p1Win,HomeTeam_p1Draw,HomeTeam_p1Lose,HomeTeam_p2Win,HomeTeam_p2Draw,HomeTeam_p2Lose,HomeTeam_p3Win,HomeTeam_p3Draw,HomeTeam_p3Lose,HomeTeam_p4Win,HomeTeam_p4Draw,HomeTeam_p4Lose,HomeTeam_p5Win,HomeTeam_p5Draw,HomeTeam_p5Lose,AwayTeam_p1Win,AwayTeam_p1Draw,AwayTeam_p1Lose,AwayTeam_p2Win,AwayTeam_p2Draw,AwayTeam_p2Lose,AwayTeam_p3Win,AwayTeam_p3Draw,AwayTeam_p3Lose,AwayTeam_p4Win,AwayTeam_p4Draw,AwayTeam_p4Lose,AwayTeam_p5Win,AwayTeam_p5Draw,AwayTeam_p5Lose
66,66,2016-10-02,Burnley,Arsenal,0,1,A,True,False,False,False,False,True,False,True,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False
67,67,2016-10-02,Leicester City,Southampton,0,0,D,False,False,True,True,False,False,False,False,True,True,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,True
68,68,2016-10-02,Manchester United,Stoke City,1,1,D,True,False,False,False,False,True,False,False,True,True,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True
69,69,2016-10-02,Tottenham Hotspur,Manchester City,2,0,H,True,False,False,True,False,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False
70,70,2016-10-15,Arsenal,Swansea City,3,2,H,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,True
71,71,2016-10-15,Bournemouth,Hull City,6,1,H,False,True,False,True,False,False,False,False,True,True,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,True
72,72,2016-10-15,Chelsea,Leicester City,3,0,H,True,False,False,False,False,True,False,False,True,False,True,False,True,False,False,False,True,False,False,False,True,True,False,False,False,False,True,True,False,False
73,73,2016-10-15,Crystal Palace,West Ham United,0,1,A,False,True,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True
74,74,2016-10-15,Manchester City,Everton,1,1,D,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,True,True,False,False,True,False,False,True,False,False
75,75,2016-10-15,Stoke City,Sunderland,2,0,H,False,True,False,False,True,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,True,False
76,76,2016-10-15,West Bromwich Albion,Tottenham Hotspur,1,1,D,False,True,False,False,True,False,True,False,False,False,False,True,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False
77,77,2016-10-16,Middlesbrough,Watford,0,1,A,False,True,False,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False,False,False,True,True,False,False,True,False,False,False,False,True
78,78,2016-10-16,Southampton,Burnley,3,1,H,False,True,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,True,True,False,False,False,False,True,False,True,False,False,False,True
79,79,2016-10-17,Liverpool,Manchester United,0,0,D,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False,False,True,True,False,False
80,80,2016-10-22,Arsenal,Middlesbrough,0,0,D,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True
81,81,2016-10-22,Bournemouth,Tottenham Hotspur,0,0,D,True,False,False,False,True,False,True,False,False,False,False,True,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False
82,82,2016-10-22,Burnley,Everton,2,1,H,False,False,True,False,False,True,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,False,True,True,False,False,True,False,False
83,83,2016-10-22,Hull City,Stoke City,0,2,A,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,True
84,84,2016-10-22,Leicester City,Crystal Palace,3,1,H,False,False,True,False,True,False,False,False,True,True,False,False,False,False,True,False,False,True,False,True,False,True,False,False,True,False,False,True,False,False
85,85,2016-10-22,Liverpool,West Bromwich Albion,2,1,H,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,True
86,86,2016-10-22,Swansea City,Watford,0,0,D,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,True,False,False,False,True,False,False,False,True,True,False,False,True,False,False
87,87,2016-10-22,West Ham United,Sunderland,1,0,H,True,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True
88,88,2016-10-23,Chelsea,Manchester United,4,0,H,True,False,False,True,False,False,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,True,False,False,False,False,True,False,False,True
89,89,2016-10-23,Manchester City,Southampton,1,1,D,False,True,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,True
90,90,2016-10-29,Crystal Palace,Liverpool,2,4,A,False,False,True,False,False,True,False,True,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False
91,91,2016-10-29,Manchester United,Burnley,0,0,D,False,False,True,False,True,False,False,True,False,True,False,False,False,False,True,True,False,False,False,False,True,False,False,True,True,False,False,False,False,True
92,92,2016-10-29,Middlesbrough,Bournemouth,2,0,H,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False,True,False,True,False,False,False,True,False,True,False,False,False,False,True
93,93,2016-10-29,Sunderland,Arsenal,1,4,A,False,False,True,False,False,True,False,True,False,False,False,True,False,False,True,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False
94,94,2016-10-29,Tottenham Hotspur,Leicester City,1,1,D,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,True,True,False,False
95,95,2016-10-29,Watford,Hull City,1,0,H,False,True,False,True,False,False,False,True,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True
96,96,2016-10-29,West Bromwich Albion,Manchester City,0,4,A,False,False,True,False,True,False,False,True,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,True,True,False,False,True,False,False
97,97,2016-10-30,Everton,West Ham United,2,0,H,False,False,True,False,True,False,False,True,False,False,False,True,True,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,True
98,98,2016-10-30,Southampton,Chelsea,0,2,A,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True
99,99,2016-10-31,Stoke City,Swansea City,3,1,H,True,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True
100,100,2016-11-05,Bournemouth,Sunderland,1,2,A,False,False,True,False,True,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,True
101,101,2016-11-05,Burnley,Crystal Palace,3,2,H,False,True,False,True,False,False,False,False,True,False,False,True,True,False,False,False,False,True,False,False,True,False,False,True,False,True,False,True,False,False
102,102,2016-11-05,Chelsea,Everton,5,0,H,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,True,False,False,False,False,True,False,True,False,False,True,False,False,False,True
103,103,2016-11-05,Manchester City,Middlesbrough,1,1,D,True,False,False,False,True,False,False,True,False,False,False,True,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,True
104,104,2016-11-05,West Ham United,Stoke City,1,1,D,False,False,True,True,False,False,True,False,False,False,True,False,False,False,True,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False
105,105,2016-11-06,Arsenal,Tottenham Hotspur,1,1,D,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False,False
106,106,2016-11-06,Hull City,Southampton,2,1,H,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,True,False,False,False,True,False,True,False,False
107,107,2016-11-06,Leicester City,West Bromwich Albion,1,2,A,False,True,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False
108,108,2016-11-06,Liverpool,Watford,6,1,H,True,False,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,True
