,date,HomeTeam,AwayTeam,HomeGoals,AwayGoals,FTR
310,2018-10-01,Bournemouth,Crystal Palace,2,1,H
311,2018-09-30,Cardiff,Burnley,1,2,A
312,2018-09-29,West Ham,Man Utd,3,1,H
313,2018-09-29,Arsenal,Watford,2,0,H
314,2018-09-29,Everton,Fulham,3,0,H
315,2018-09-29,Huddersfield,Spurs,0,2,A
316,2018-09-29,Man City,Brighton,2,0,H
317,2018-09-29,Newcastle,Leicester,0,2,A
318,2018-09-29,Wolves,Southampton,2,0,H
319,2018-09-29,Chelsea,Liverpool,1,1,D
320,2018-09-23,West Ham,Chelsea,0,0,D
321,2018-09-23,Arsenal,Everton,2,0,H
322,2018-09-22,Fulham,Watford,1,1,D
323,2018-09-22,Burnley,Bournemouth,4,0,H
324,2018-09-22,Cardiff,Man City,0,5,A
325,2018-09-22,Crystal Palace,Newcastle,0,0,D
326,2018-09-22,Leicester,Huddersfield,3,1,H
327,2018-09-22,Liverpool,Southampton,3,0,H
328,2018-09-22,Man Utd,Wolves,1,1,D
329,2018-09-22,Brighton,Spurs,1,2,A
330,2018-09-17,Southampton,Brighton,2,2,D
331,2018-09-16,Wolves,Burnley,1,0,H
332,2018-09-16,Everton,West Ham,1,3,A
333,2018-09-15,Spurs,Liverpool,1,2,A
334,2018-09-15,Bournemouth,Leicester,4,2,H
335,2018-09-15,Chelsea,Cardiff,4,1,H
336,2018-09-15,Huddersfield,Crystal Palace,0,1,A
337,2018-09-15,Man City,Fulham,3,0,H
338,2018-09-15,Newcastle,Arsenal,1,2,A
339,2018-09-15,Watford,Man Utd,1,2,A
340,2018-09-02,Cardiff,Arsenal,2,3,A
341,2018-09-02,Burnley,Man Utd,0,2,A
342,2018-09-02,Watford,Spurs,2,1,H
343,2018-09-01,Leicester,Liverpool,1,2,A
344,2018-09-01,Brighton,Fulham,2,2,D
345,2018-09-01,Chelsea,Bournemouth,2,0,H
346,2018-09-01,Crystal Palace,Southampton,0,2,A
347,2018-09-01,Everton,Huddersfield,1,1,D
348,2018-09-01,West Ham,Wolves,0,1,A
349,2018-09-01,Man City,Newcastle,2,1,H
350,2018-08-27,Man Utd,Spurs,0,3,A
351,2018-08-26,Watford,Crystal Palace,2,1,H
352,2018-08-26,Fulham,Burnley,4,2,H
353,2018-08-26,Newcastle,Chelsea,1,2,A
354,2018-08-25,Wolves,Man City,1,1,D
